FID,area,perimeter,distance
733157,83433.79256,1211.201052,29.76493948
733158,14448.52275,467.6292008,67.18184598
733159,2037.647113,166.4329099,34.08640211
733160,96656.12894,1334.815052,88.1581043
733161,7800.88281,332.3112354,58.15240984
733162,8099.394005,354.1117343,30.48408561
733163,18582.42153,574.0100888,18.72456262
733164,650800.7859,7123.152468,6095.552231
733166,13490.07278,511.4466059,5.981088237
733259,33529.12446,773.2308479,6.654741805
733481,11872.14007,478.7231676,31.28618134
733482,4752.005015,351.5925878,25.8226804
733483,35941.60134,739.9673401,41.61368641
733484,2701.92904,321.3286189,13.00176343
733485,1354.981137,174.5806587,25.70741166
733486,7024.209786,336.6775652,12.82395322
733487,4008.289135,344.3513374,26.33378641
733488,18720.18667,530.4723428,62.58605359
733489,928.9402199,158.5413544,6.897636058
733490,2064.393412,201.2997561,15.56516367
733491,46869.77705,815.7597828,3.501890609
733492,16234.29956,634.2452387,64.93590477
733493,19504.30897,580.3646168,38.86518504
733494,93624.18252,1501.658841,7.212124454
733495,332.5995902,90.32789128,9.132838356
733496,4056.205578,255.5832903,36.4318832
733497,1036.134264,158.3059082,29.16453406
733498,9940.118316,549.5616048,24.38618794
733499,35110.87718,704.9070427,109.2630943
733500,87773.34518,1541.207255,9.561080189
733578,2883.42705,278.5869556,615.4462904
733579,3108.097606,207.7599973,561.4149226
733580,4145.771662,323.3192969,571.1004221
733641,3713.563996,255.8918913,32.1708385
733642,6960.94154,338.1988756,5.855171733
733643,4364.094106,268.2356906,14.79532572
733644,1078.056444,191.1235386,503.363741
733645,9501.790243,578.2791992,415.1268383
733646,7056.889421,368.0997268,14.93378846
733647,12129.37818,462.7504132,10.63639618
733648,4062.859298,275.7636625,11.52214286
733649,17587.71023,1391.711069,224.3815309
733650,16662.54534,494.1007681,37.56958353
733651,14070.82713,487.0205314,33.14028279
733652,21395.93527,667.7265051,28.04302632
733653,2708.505517,217.7876109,29.15454991
733654,3923.160308,281.8020368,14.65930201
733655,12211.48227,716.5930608,11.35982413
733656,976.6603388,124.5126237,120.7782949
733657,73537.01726,1320.887012,114.8109861
733658,13725.13788,513.0950665,20.04774616
733659,658.4357202,105.2162995,28.53872085
733660,1338.593146,137.6573215,18.08463443
733661,5321.779809,303.2457517,35.59626863
733662,1223.965467,129.7836423,47.74941162
733663,19169.54131,617.3932272,51.5143263
733664,6362.172359,417.6164365,28.17027494
733665,4521.80623,298.546048,10.63572089
733666,16605.43056,589.0494256,7.812769885
733667,138684.133,3016.005899,47.34548566
733668,47121.40141,1389.103687,22.84183372
733813,1636.140595,176.6554419,7.780985313
733823,29014.67442,671.4629265,18.33441331
733978,17341.38167,522.7854174,10.94409352
733979,74043.1165,1276.68138,12.17171273
733980,2239690.905,7148.132269,28.02315792
733981,120324.0538,1405.344966,1649.561584
733982,253280.1564,3309.325127,11.55430581
733983,25605.32715,621.7766555,25.40339074
733984,50098.80231,1105.282431,520.5463165
733985,967352.0578,4030.770165,30.78960904
733986,8013.747208,506.605517,37.54084573
733987,33413.43635,703.8146087,53.43009287
733988,24426.69732,575.3443452,12.9754519
733989,8016.792785,407.5091734,8.350106935
733990,4341.027651,259.0715649,37.08482857
733991,15760.88055,494.2549197,107.3672819
733992,461641.9688,2876.426826,514.755559
733993,364347.3562,2893.377286,384.05676
733994,8728.781689,420.4296164,12.54275229
733995,3920.819668,278.9854601,271.2836695
733996,12720.98634,416.6361667,210.4579122
733997,209253.5191,1917.91694,18.18648685
733998,670168.5266,3587.936762,80.19399322
733999,10169.89769,396.0194637,16.47964205
734000,31296.13352,734.9862672,91.93362801
734001,10895.04342,417.4620129,36.79252168
734002,297101.1282,2435.899985,305.9440024
734003,337309.8874,2527.319167,124.7277363
734004,110522.33,1409.709574,14.75738236
734005,430859.6616,3249.218596,17.19924347
734006,89549.54704,1363.435364,27.48441924
734007,103717.4614,1330.364616,53.77057358
734008,9653.028288,434.1307846,44.79500759
734009,9589.573108,438.6939117,47.94518299
734010,88619.23893,1324.225071,30.85549009
734011,2000.612679,185.0988235,38.65381514
734012,2822.868355,198.3370868,49.84628013
734013,19181.86734,597.63482,15.17924463
734014,3449.420443,227.8774947,49.88952695
734015,984.1508473,135.9837294,23.50249763
734016,2489.385184,205.2219708,40.715152
734017,13366.59601,508.8477128,49.98445358
734018,176180.6209,2030.410611,14.19485869
734019,4504.486372,306.3832827,33.09515474
734020,15377.26946,622.7908401,56.83197434
734021,14172.1423,547.3805604,30.43108406
734022,13655.60258,613.3283592,25.50589852
734023,9615.992637,459.2673837,150.4701326
734024,11572.86328,590.989021,16.49460876
734025,60951.90808,1302.237405,22.56077443
734026,1692.612367,163.7095135,12.87121451
734027,31399.45618,668.2112005,406.6927211
734028,20687.38411,708.4254889,6.492584408
734029,6339.065067,337.9996438,25.1855202
734030,8329.189438,440.1364447,37.48193672
734467,6816.184665,345.7314581,17.35213072
734468,10684.11268,400.16401,20.93297894
734469,4514.445388,282.006993,71.86464588
734470,1510.938024,167.2846961,34.60581985
734471,9943.510603,413.0466742,20.03288175
734472,10150.23839,445.0847406,3259.660716
734473,18516714.23,57634.59275,254.8867057
734474,44627.22858,1139.200221,3564.735317
734475,8631.91495,436.7639905,161.9709054
734476,12718.45881,426.8525727,30.14239721
734484,508.5483753,122.8336215,1531.166401
734485,1089.533039,169.6462352,1217.744568
734486,7191.408145,824.6642235,1278.383848
734735,178212.6883,1763.103093,626.9110595
734770,17257.30362,494.4686449,15.06932277
734855,7429.774563,476.9514129,8.769778038
734856,1911.726112,190.8300825,7.846844709
734906,6137.921837,423.8040357,9637.657188
734907,141065.0666,2179.683981,7780.58249
734908,12089.14528,632.7873099,6977.267121
734909,90001.28932,1265.821843,9162.14208
734971,118463.5356,2641.298953,5.448808875
734972,14859.90154,493.8176775,76.86751992
734973,56209.49541,1112.01531,11.27065585
734974,1422.997167,173.8314978,35.50728617
734975,6572.679721,389.7165352,4.951687455
734976,24012.10993,638.1212142,33.45852654
734977,393397.3057,4958.130101,12.1783149
734978,8196.951959,354.0047351,16.90909701
734979,20331.89119,611.5860022,23.61569062
734980,6277.35954,305.9533785,38.67445399
734981,10527.35251,457.1764978,27.73837419
734982,9916.298878,691.5995685,37.11515408
734983,3422.039603,258.1038054,26.90530834
734984,147853.4105,1796.235462,10.01920996
734985,97000.02808,1494.332027,29.12077736
734986,6048.806219,502.3394599,5.509839989
734987,26367.7364,672.1980688,95.19508323
734988,2209.832369,272.6164663,14.27675731
734989,3041.394417,258.0103756,16.47961974
734990,3169.432532,283.2223567,13.45470573
734991,38685.20896,1057.565339,7.074004043
734992,1374.248904,150.4544513,21.14703568
734993,85610.15256,1225.559661,13.33639785
734994,6778.274116,389.3939279,49.34106559
734995,216275.9567,1858.922761,6.1040607
734996,1043.902186,137.6415993,21.45898705
734997,794.2663439,131.1899536,6.173084303
734998,5154.684039,348.2669362,34.2632892
734999,1481.728426,223.6271913,8.660534259
735000,2844.028253,251.6945878,9.638159376
735001,3840.308354,286.0167268,12.31908988
735002,3502.195031,359.7892117,15.97421814
735003,7943.668005,400.339609,16.12219652
735004,28629.70436,830.4431927,30.45000503
735005,6615.059795,557.4725573,144.3795908
735006,29517.93651,938.3828021,40.55250028
735007,2221.841645,309.5350638,45.69182182
735008,6629.55024,442.280506,14.69879711
735009,18354.35481,605.2976784,18.30607557
735010,264414.6779,2266.346013,13.41952101
735011,11090.75578,443.2149594,36.07000807
735012,11133.27511,447.9183971,13.70040204
735013,8192.935541,442.9064335,35.29892926
735014,8043.555089,328.7783983,396.9469279
735015,908.333434,118.639623,13.10425394
735016,1684.831311,159.8386012,7.327009319
735017,25810.00526,665.4113744,35.57891834
735018,1854.496231,187.8233568,19.4533495
735019,95629.83608,1718.443288,5.752005992
735020,46286.29433,1065.477967,1062.57889
735021,5133510.475,16947.29778,10.63159707
735022,11020.36922,546.1536401,34.71143012
735023,2313.073852,275.9534139,5.977721213
735024,4538.483988,255.4181812,82.59904776
735025,5272.854413,320.8386301,18.61294961
735026,99352.77456,1599.566005,10.28920875
735027,3365.368142,298.9228646,12.92425247
735028,7042.067446,360.4958751,12.5384355
735032,4194.976263,261.0852897,6.092787207
735104,135058.7513,1750.781729,584.6435402
735243,2384.777035,316.5064794,5.243952698
735244,1227.240169,154.6573807,363256.0846
735245,2235.106021,246.3296235,362673.6955
