FID,area,perimeter,area_2,perimeter_,FID_2,area_3,perimete_1,distance
"27367",0.000000742951000,0.003385587143738,7734.195116378366947,346.457938985007956,"141273",685.628724642505063,421.725075245091944,1782.915979291590929
"27368",0.000001928315275,0.007719228265722,20074.069168949496088,776.396332627822630,"141273",685.628724642505063,421.725075245091944,3232.096115659865973
"27402",0.000033774679670,0.094514139478791,343035.138023551553488,9691.246946294639201,"141273",685.628724642505063,421.725075245091944,318.082595954194630
"27674",0.001129201377599,0.281719068406555,11806176.465914009138942,29667.583317604057811,"141273",685.628724642505063,421.725075245091944,2089.803953462509980
"27871",0.000006148348150,0.014683747590813,61681.429978407919407,1474.416858123748398,"141273",685.628724642505063,421.725075245091944,13959.023385511613014
"27872",0.000006778684590,0.013974687986376,68020.228190347552299,1370.371372235674926,"141273",685.628724642505063,421.725075245091944,12481.835668890638772
"27873",0.000001251487110,0.005595293846956,12553.979615967720747,571.298253499165412,"141273",685.628724642505063,421.725075245091944,14689.415843067075912
"27929",0.000024354500000,0.032311083022620,248738.434230029582977,3393.740376151791224,"141273",685.628724642505063,421.725075245091944,91.553574473221715
"27966",0.000014705242990,0.022303340765438,148715.220579568296671,2222.626426565862403,"141273",685.628724642505063,421.725075245091944,5897.903017134425681
"27972",0.000001746327500,0.005483958421504,17624.535519298166037,557.700041751711865,"141273",685.628724642505063,421.725075245091944,74.997909260300645
"27973",0.000001850366785,0.005873392701493,18733.204076662659645,571.082000043275912,"141273",685.628724642505063,421.725075245091944,318.577169748646327
"27976",0.000000137797860,0.001508198998955,1394.772657480090857,150.638533971815917,"141273",685.628724642505063,421.725075245091944,209.046982392334826
"27977",0.000000148498935,0.001507357863034,1503.070107214152813,151.223378929696992,"141273",685.628724642505063,421.725075245091944,128.962738380666053
"27978",0.000000112162560,0.001431561666008,1135.288048140704632,141.528062321991683,"141273",685.628724642505063,421.725075245091944,155.810192273672243
"27979",0.000000291294640,0.002224380507390,2948.458377327769995,218.025264455834389,"141273",685.628724642505063,421.725075245091944,241.872328530705346
"27980",0.000001512837185,0.006625291176737,15318.498765081167221,617.465385000654919,"141273",685.628724642505063,421.725075245091944,100.413150581104674
"28239",0.000001549146080,0.005059923226777,15791.281313292680352,500.695488700659610,"141273",685.628724642505063,421.725075245091944,4201.536620600296374
"28240",0.001834005137512,0.241198574573071,18684987.627414874732494,24707.739464704307466,"141273",685.628724642505063,421.725075245091944,3785.377185342278153
"28241",0.000001033106075,0.006504919592427,10531.120695434045047,682.588717959658538,"141273",685.628724642505063,421.725075245091944,4682.845387184423998
"28242",0.000001965353455,0.005625186484878,20026.408644005656242,582.181761720687177,"141273",685.628724642505063,421.725075245091944,1258.491840190057474
"28243",0.000007454512140,0.011944407831062,75985.285713747143745,1187.489814039149906,"141273",685.628724642505063,421.725075245091944,4323.823066947615189
"28244",0.000005113400000,0.013527308087700,52129.799578141421080,1358.827412102604058,"141273",685.628724642505063,421.725075245091944,42.111863498083039
"28402",0.000010405150000,0.020648555321461,106616.983090817928314,1994.378544797181803,"141273",685.628724642505063,421.725075245091944,1023.282461757642409
"28403",0.000015192800000,0.025741590158697,155719.405915256589651,2453.670775358785249,"141273",685.628724642505063,421.725075245091944,773.509392685615580
"28404",0.000007896650000,0.016660392716208,81613.348683021962643,1701.552872946419711,"141273",685.628724642505063,421.725075245091944,75.238466347043214
"28405",0.001766405638093,0.364176450974768,18507248.031556539237499,36544.568440814982750,"141273",685.628724642505063,421.725075245091944,16475.393531569345214
"28516",0.000063038137885,0.030365260875890,652601.053080953657627,3045.978076807322850,"141273",685.628724642505063,421.725075245091944,258.789127844881477
"28522",0.000001590538015,0.014704496730223,16567.761342644691467,1392.670972560870041,"141273",685.628724642505063,421.725075245091944,86.736562355265860
"28524",0.000001870900000,0.007657333590436,19238.171270806342363,768.166080102615410,"141273",685.628724642505063,421.725075245091944,194.130103696554102
"28525",0.000001342650000,0.005621443072974,13809.633723890408874,561.354710003220475,"141273",685.628724642505063,421.725075245091944,81.602657705069461
"28526",0.000004369250000,0.009541816778197,45226.164727702729579,949.431695238720977,"141273",685.628724642505063,421.725075245091944,218.826896946986153
"28527",0.000026611987500,0.038185262025223,273568.675007067620754,3884.648732590382679,"141273",685.628724642505063,421.725075245091944,391.352986703083900
"28528",0.000001285500000,0.005754817571483,13213.488292872907550,583.732856436818793,"141273",685.628724642505063,421.725075245091944,76.198097283481104
"28529",0.000002916300000,0.008494241602484,30187.584001109004021,836.372902454818814,"141273",685.628724642505063,421.725075245091944,51.005347716609194
"28530",0.000056726800000,0.042256176493167,583241.288703501224518,4402.633996231757919,"141273",685.628724642505063,421.725075245091944,483.132493384828820
"28531",0.000004700900000,0.013254456029032,48321.090384729199286,1311.987589456087335,"141273",685.628724642505063,421.725075245091944,285.458663527753743
"28549",0.000030013366495,0.022962804940963,306100.860781729221344,2310.368245257984199,"141273",685.628724642505063,421.725075245091944,572.667659610463033
"28551",0.000007771397555,0.012113110154796,78800.553486891090870,1254.658021286170651,"141273",685.628724642505063,421.725075245091944,238.373006100394974
"28552",0.000006704600000,0.010657847544060,68251.419583670794964,1047.819483533266975,"141273",685.628724642505063,421.725075245091944,17168.322108032290998
"28553",0.000009223971230,0.014823465371800,93704.646980788558722,1498.647272671419159,"141273",685.628724642505063,421.725075245091944,1324.735945631088271
"28554",0.003981912003504,0.556945335744086,40327595.423877626657486,56025.708897381766292,"141273",685.628724642505063,421.725075245091944,7382.531054156444952
"28555",0.000053240522525,0.038154052684962,540651.443347334861755,3805.463174457734567,"141273",685.628724642505063,421.725075245091944,581.719189102873770
"28556",0.000084728539719,0.054504771974438,859002.487611338496208,5534.345153740408023,"141273",685.628724642505063,421.725075245091944,3366.940829805330850
"28557",0.000005912150000,0.011132870227074,59977.225241031497717,1158.844989439709934,"141273",685.628724642505063,421.725075245091944,3454.931257399340211
"28558",0.000072583281795,0.055363747674950,737916.567329009994864,5540.404456914759066,"141273",685.628724642505063,421.725075245091944,21489.500783132876677
"28559",0.000005901383715,0.010230821665706,59946.235797859728336,1024.614494209053646,"141273",685.628724642505063,421.725075245091944,746.447395533413669
"28560",0.000954766930447,0.213171122129642,9703894.229675069451332,21936.480785886637022,"141273",685.628724642505063,421.725075245091944,2452.910144350851624
"28561",0.000004208450025,0.009527470532540,42644.933968862518668,999.241215261704042,"141273",685.628724642505063,421.725075245091944,2873.749498481033697
"28562",0.000020506314040,0.019247069869931,208653.387082140863640,1962.090207148789432,"141273",685.628724642505063,421.725075245091944,4330.837800911654995
"28563",0.000002898877055,0.006792559776312,29384.660304283723235,675.294271375049902,"141273",685.628724642505063,421.725075245091944,6.172238983233752
"28564",0.000003854810050,0.008031138101142,39092.096416994929314,822.153738761468844,"141273",685.628724642505063,421.725075245091944,214.679099166644562
"28565",0.000009609150000,0.014262984676350,97718.536962196230888,1421.356611548508226,"141273",685.628724642505063,421.725075245091944,23921.286362713850394
"28566",0.000011978601175,0.013415007752579,122020.177427874878049,1377.255794489825803,"141273",685.628724642505063,421.725075245091944,12065.077508500035037
"28567",0.000059304000000,0.046124996997501,603608.004087418317795,4432.668278766349431,"141273",685.628724642505063,421.725075245091944,17125.056567137038655
"28568",0.000025081150160,0.026509088780610,254062.134591182693839,2748.908843446010906,"141273",685.628724642505063,421.725075245091944,2003.402968177905905
"28569",0.000146839098146,0.062949949703313,1487764.799728155136108,6247.882399957837151,"141273",685.628724642505063,421.725075245091944,4362.066280907863074
"28570",0.000001758734950,0.005842333050294,17849.555241599678993,572.869934601601585,"141273",685.628724642505063,421.725075245091944,18906.401509897401411
"28571",0.000002347586655,0.007155266419097,23827.418936461210251,683.585302519674769,"141273",685.628724642505063,421.725075245091944,17389.932090999529464
"28572",0.000438378640154,0.193455342341015,4464863.522196590900421,19607.041632035885414,"141273",685.628724642505063,421.725075245091944,14624.956868194400158
"28573",0.000031498700000,0.030073009747227,320546.520228963345289,2923.536351966194616,"141273",685.628724642505063,421.725075245091944,15132.839973102174554
"28574",0.000032560206540,0.023909822984621,331763.770390436053276,2359.751011866368572,"141273",685.628724642505063,421.725075245091944,14539.594297531215489
"28575",0.000002398750000,0.006811020165809,24394.985844735056162,667.680849994391224,"141273",685.628724642505063,421.725075245091944,27927.459337164760655
"28576",0.000006835800000,0.011259371583482,69590.887087464332581,1126.185168846841862,"141273",685.628724642505063,421.725075245091944,12313.657040896792751
"28577",0.000018086600000,0.016802398220535,183945.559880033135414,1678.669837097296750,"141273",685.628724642505063,421.725075245091944,27145.782097240338771
"28578",0.000000186354850,0.001791406479162,1889.868661940097809,172.302543754161491,"141273",685.628724642505063,421.725075245091944,101.853915648184142
"28579",0.000104495000000,0.052839543402825,1063427.300414852797985,5152.167915869661556,"141273",685.628724642505063,421.725075245091944,19575.440714353946532
"28580",0.000204512709835,0.082075082673893,2081624.503732830286026,8484.327704245240966,"141273",685.628724642505063,421.725075245091944,2422.065075623078883
"28581",0.000157046774027,0.087994666982894,1589947.982395953265950,9004.338630373784326,"141273",685.628724642505063,421.725075245091944,1835.174675332832066
"28582",0.000012273226605,0.013832971550501,124364.256804510951042,1411.057602957149129,"141273",685.628724642505063,421.725075245091944,2886.075566892020106
"28583",0.000016927495685,0.021128541777328,171563.905423644930124,2185.455692928398548,"141273",685.628724642505063,421.725075245091944,689.805648972817494
"28584",0.000261081597650,0.085496625908348,2647998.654365039896220,8730.772561604318980,"141273",685.628724642505063,421.725075245091944,2624.016043875187734
"28585",0.000000221833045,0.002205093206738,2246.541868917644024,207.451212199235897,"141273",685.628724642505063,421.725075245091944,13521.148970681062565
"28586",0.000002378137630,0.006657983713358,24099.374024726450443,647.656305405648823,"141273",685.628724642505063,421.725075245091944,2598.484108063158601
"28587",0.000006260400000,0.011451535479330,63350.593107610940933,1097.086789511647112,"141273",685.628724642505063,421.725075245091944,18333.802967503532273
"28588",0.000034363250000,0.025315662267769,349884.196818478405476,2511.743290264590541,"141273",685.628724642505063,421.725075245091944,9519.748820126138526
"28589",0.000003931502620,0.010718625685852,39867.270051665604115,1088.022045932029869,"141273",685.628724642505063,421.725075245091944,2637.902460368166885
"28590",0.000001815779180,0.005520462600986,18450.779974840581417,562.133571344646725,"141273",685.628724642505063,421.725075245091944,435.375802708516744
"28591",0.000036361583635,0.033258288020076,369815.535140968859196,3340.828203368819686,"141273",685.628724642505063,421.725075245091944,13484.675685503019849
"28592",0.000001775030460,0.006670041380114,18016.510101995430887,639.445395783716890,"141273",685.628724642505063,421.725075245091944,17967.351108556227700
"28621",0.000035452315850,0.034323960931024,386671.773325860442128,3607.024856839821496,"141273",685.628724642505063,421.725075245091944,241.043216411280980
"28627",0.000001053119630,0.004958877885665,10665.070449523627758,512.561417649186410,"141273",685.628724642505063,421.725075245091944,31.308312236038297
"28665",0.000000551720000,0.003445078391894,6506.610396295785904,375.256397819912934,"141273",685.628724642505063,421.725075245091944,493.653791267574718
"28706",0.000001975660445,0.006589772628745,23010.424626260995865,711.980517312156849,"141273",685.628724642505063,421.725075245091944,7006.932381804367651
"28707",0.000000707876470,0.003397309206769,8244.996524721384048,369.431265633312591,"141273",685.628724642505063,421.725075245091944,14218.529189160106398
"28734",0.002019536630617,0.495716326345407,22046526.296942315995693,54058.514884351694491,"141273",685.628724642505063,421.725075245091944,282.784124050788421
"28735",0.000007348683105,0.018364687516721,80204.863764353096485,1960.385806673067236,"141273",685.628724642505063,421.725075245091944,984.153331586881109
"28736",0.000022226893000,0.020157498615853,242552.988972652703524,2105.522324741610646,"141273",685.628724642505063,421.725075245091944,111.189259504129609
"28739",0.000124401102409,0.057345110737154,1361278.965266205370426,5894.312949498689704,"141273",685.628724642505063,421.725075245091944,669.317746930413477
"28740",0.016431863333904,0.866602262386436,180478850.201106548309326,94119.253213775649783,"141273",685.628724642505063,421.725075245091944,21032.479245323578652
"28741",0.000008017600000,0.017389902284203,87896.834461748585454,1828.735777022141974,"141273",685.628724642505063,421.725075245091944,20350.725578577632405
"28750",0.000001239926175,0.004940224511797,13648.820813871918290,503.370868864205306,"141273",685.628724642505063,421.725075245091944,397.731153439463981
"28756",0.000008862334605,0.024004814885548,96702.714326219633222,2515.253465863563179,"141273",685.628724642505063,421.725075245091944,342.374345776914538
"28767",0.000009457136640,0.013238306823433,111450.070494621992111,1444.202949893764298,"141273",685.628724642505063,421.725075245091944,80.961058089022686
"28773",0.000002018593845,0.006843824443851,23789.712917886674404,750.492778371203030,"141273",685.628724642505063,421.725075245091944,12.270082869253716
"28774",0.000002669204575,0.006676104392937,31455.233622685074806,727.772638782557806,"141273",685.628724642505063,421.725075245091944,30.927775685583018
"28775",0.000021206446575,0.017461253461753,249926.687199622392654,1892.516321809116107,"141273",685.628724642505063,421.725075245091944,61.609291480658896
"28831",0.000000872822330,0.004730584717173,8452.051609780639410,440.171718453681592,"141273",685.628724642505063,421.725075245091944,21.692509834660296
"28832",0.000000557704260,0.003255581414030,5400.520840253680944,308.106337672259656,"141273",685.628724642505063,421.725075245091944,131.528744976165655
"28833",0.000001975250605,0.015220493689084,19118.594426225867210,1497.558832432700228,"141273",685.628724642505063,421.725075245091944,12375.925770511556038
"30051",0.004538008284738,0.360366732911501,54003247.167386934161186,39375.496481910398870,"141273",685.628724642505063,421.725075245091944,115.811572121958633
"30054",0.000001077500000,0.005674265779334,11378.408687397837639,556.117845125617009,"141273",685.628724642505063,421.725075245091944,399.557303699301031
"30120",0.000001804811235,0.006266352012692,19278.857443079352379,620.581661737366630,"141273",685.628724642505063,421.725075245091944,145.721033596621538
"30121",0.000004130331085,0.014199395780685,44169.173760890960693,1496.792878840205731,"141273",685.628724642505063,421.725075245091944,5095.620682510731967
"30177",0.000098532854700,0.085074151460427,951540.025744676589966,8140.907319808698048,"141273",685.628724642505063,421.725075245091944,133.806693449898518
"30249",0.000001267086010,0.005661426568776,13509.909457493573427,576.555022824655339,"141273",685.628724642505063,421.725075245091944,636.124743102928164
"30250",0.000004230806440,0.010495516769707,51190.921096511185169,1148.924816557042732,"141273",685.628724642505063,421.725075245091944,2596.131938248152437
"30251",0.000001850402520,0.006759357569038,22389.676688089970412,746.674416727959965,"141273",685.628724642505063,421.725075245091944,3916.712777176278450
"30253",0.000016201532790,0.017739463892033,196042.827956184744835,1968.273917936543512,"141273",685.628724642505063,421.725075245091944,130.717720220401020
"30261",0.000000546600000,0.003823814100089,5989.556094363331795,400.588316175545799,"141273",685.628724642505063,421.725075245091944,25350.647130177392683
"30262",0.000000279850000,0.002552281616187,3066.585942886769772,261.734225615513537,"141273",685.628724642505063,421.725075245091944,25551.498492403239652
