,Family,Genus,Species,Introduced..y.n.,Body.mass_Mean..g.,Total.body.Length_Mean..mm.,SVL_Mean..mm.,Longevity..days.,Limbs,Sociality,Sexual.maturity..days..,Gestation.length..days.,Litter.clutch.size,Litters.clutches.per.year,Weaning.age..days..,Plant..0.1.,Terrestrial.vertebrate..0.1.,Fish..0.1.,Invertebrate..0.1.,Carrion..0.1.,trophic_level,brain_mass_g,DigitsWebbed,DigitsClaws,DigitsFlippers,DigitsHooves,LocoAquatic,LocoArboreal,LocoFossorial,LocoGliding,LocoCursorial,LocoSaltation,LocoTerrestrial,day_active,night_active,crepuscular_active,niche_aerial,niche_arboreal,niche_ground,niche_marine,niche_scansorial
296,Muridae,Pogonomys,mollipilosus,N,175.7333521,289.044773,265.1740629,2930.261818,4,Gregarious,125.5414082,32.98895501,2.820195555,2.818287675,29.3581995,1,0,0,1,0,1.928294444,27.86167113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
297,Muridae,Pogonomys,sp,N,95.195,318.5,142.06,1836.595355,4,Gregarious,126.5050889,30.68566406,2.175,2.804941794,32.1338295,1,0,0,1,0,1.90777619,1.632305579,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
298,Potoroidae,Potorous,gilbertii,N,1087.335,536,312,5496.292,4,Gregarious,382.625,33.55,1,2,167.33,1,0,0,0,0,1,9.428,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
299,Potoroidae,Potorous,longipes,N,1742.53,720,387.495,5587.542,4,Solitary,855.56,38,1,1.72,161,1,0,0,0,0,2,12.042,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
300,Potoroidae,Potorous,platyops,N,499.99,426,243,4264.265943,4,Solitary,372.4808428,31.47401408,1.236728689,1.841021155,147.5760015,1,0,0,0,0,1.297833333,7.695107466,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
301,Potoroidae,Potorous,tridactylus,N,1054.67,576,341,5496.292,4,Solitary,413.84,31.775,1,2,160.665,1,0,0,1,0,2,9.63,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
302,Dasyuridae,Pseudantechinus,bilarni,N,23.05,240,98.18,1095,4,Solitary,353.81,38.98,4.75,1,100.68,0,0,0,1,0,3,0.673,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
303,Dasyuridae,Pseudantechinus,macdonnellensis,N,39.99,185,105,2883.5,4,Solitary,355.43,44.36,5.94,1,106,0,0,0,1,0,3,0.508,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
304,Dasyuridae,Pseudantechinus,mimulus,N,24,176.5,92.5,2883.5,4,Solitary,350,44.36,5.94,1,106,0,0,0,1,0,3,0.672,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
305,Dasyuridae,Pseudantechinus,ningbing,N,20.74,190,100,730,4,Solitary,348.62,46.71,4,1.05,111.68,0,0,0,1,0,3,0.609,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
306,Dasyuridae,Pseudantechinus,woolleyae,N,40.615,193,108,1460,4,Solitary,340.14,36.82490078,5.995,1.072325496,103.7468635,0,0,0,1,0,3,0.81,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
307,Pseudocheiridae,Pseudocheirus,occidentalis,N,987.5,810,400,3686.5,4,Solitary,375.27,18.86003821,1.945,1.5,188.57,1,0,0,0,0,1,5.781,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
308,Pseudocheiridae,Pseudocheirus,peregrinus,N,859.3,710,350,3686.5,4,Gregarious,375.27,16,1.945,1.5,188.57,1,0,0,0,0,1,5.781,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
309,Pseudocheiridae,Pseudochirops,archeri,N,1118.96,686,358,4659.940341,4,Solitary,642.9740768,20.35652286,1.015,1.1,300,1,0,0,0,0,1,5.87,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
310,Pseudocheiridae,Pseudochirulus,cinereus,N,977.48,713,353,5475,4,Solitary,639.188,19.94085143,2,1,155,1,0,0,0,0,1,5.839,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
311,Pseudocheiridae,Pseudochirulus,herbertensis,N,1098.34,747,370,2190,4,Solitary,544.23,13,1.945,1.525,121.76,1,0,0,0,0,1,4.476,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
312,Pseudocheiridae,Pseudochirulus,schlegeli,N,447.3,240.7,301.7503475,5233.598233,4,Solitary,542.6709962,27.66063079,1.26,1.396926429,149.6587792,1,0,0,0,0,1.197919048,28.38648413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
313,Muridae,Pseudomys,albocinereus,N,28.25,172,77.5,970.292,4,Gregarious,77.34,34.202,4.08,2.215,30.008,1,0,0,1,0,2,1.195,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
314,Muridae,Pseudomys,apodemoides,N,21.89,180,75,1551.020429,4,Gregarious,133.932204,44.768,4.7,3,35.3,1,0,0,1,0,2,0.912,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
315,Muridae,Pseudomys,auritus,N,100.807107,117,158,1928.570075,4,Gregarious,145.4675898,35.60084017,2.634297587,2.120593421,28.85318126,1,0,0,1,0,1.893963492,1.406702337,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
316,Muridae,Pseudomys,australis,N,65,210,105,2883.5,4,Gregarious,183.07,31.045,3.1,2.789707897,26,1,0,0,1,0,2,1.16,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
317,Muridae,Pseudomys,bolami,N,12.79,183,80,334.583,4,Gregarious,83.962,31.881,2.375,2.727782706,30.218,1,0,0,1,0,2,0.69,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
318,Muridae,Pseudomys,calabyi,N,12,160,88.5,2518.5,4,Gregarious,119.0682685,33.44922507,3.197708948,2.413173635,30.01442724,1,0,0,0,0,2,1.116,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
319,Muridae,Pseudomys,chapmani,N,11.475,135,60,2482,4,Gregarious,136.3726169,35.91894729,4,2.663017127,31.58409165,1,0,0,0,0,2,1.011,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
320,Muridae,Pseudomys,delicatulus,N,9.78,155,75,1517.792,4,Gregarious,101.9504828,30.011,3.095,2.956347115,28.718,1,0,0,0,0,2,0.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
321,Muridae,Pseudomys,desertor,N,31.045,166,83,365,4,Gregarious,79.32,29.394,3,3.91,25.028,1,0,0,0,0,2,0.795,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
322,Muridae,Pseudomys,fumeus,N,70,225,136.51,730,4,Gregarious,170.3390668,33.84015897,3.5,1.5,31.08143023,1,0,0,1,0,1,1.269,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
323,Muridae,Pseudomys,glaucus,N,21.77,195,95,1753.068087,4,Gregarious,128.9019282,33.94946712,3.05384048,2.172228647,30.3320759,1,0,0,1,0,1.956887302,1.011650247,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
324,Muridae,Pseudomys,gouldii ,N,44,220,100,1807.598401,4,Gregarious,125.3053076,28,4,2.39065829,30,1,0,0,1,0,1.962654762,1.056417297,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
325,Muridae,Pseudomys,gracilicaudatus,N,79.53,258.5,134.915,1665.251103,4,Gregarious,168,27.196,2.955,3,27.135,1,0,0,1,0,2,1.242,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
326,Muridae,Pseudomys,hermannsburgensis,N,12.2,155,75,334.583,4,Gregarious,91.53,31.881,2.375,2.510965429,30.218,1,0,0,1,0,2,0.49,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
327,Muridae,Pseudomys,higginsi,N,61.63,295,144.42,504,4,Gregarious,274.61,32.363,2.91,1.75,28.414,1,0,0,1,0,2,1.32,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
328,Muridae,Pseudomys,johnsoni,N,12,160,76,2518.5,4,Gregarious,127.3168978,33.62456309,3.250098321,2.299440429,30.1638039,1,0,0,0,0,2,1.035,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
329,Muridae,Pseudomys,nanus,N,52.19,243.5,123,1597.57206,4,Gregarious,101.7,24.169,3,3.255386881,24.218,1,0,0,0,0,2,1.015,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
330,Muridae,Pseudomys,novaehollandiae,N,17.4,165,78,1456.958,4,Gregarious,122.04,31.871,4.05,3.75,26.448,1,0,0,1,0,2,0.675,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
331,Muridae,Pseudomys,occidentalis,N,34,226,97,1761.125,4,Gregarious,118.5426646,33.03066298,3,2.328639385,29.86547075,1,0,0,1,0,2,1.229,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
332,Muridae,Pseudomys,oralis,N,65,257.5,135,2883.5,4,Gregarious,162.5,31.045,3.05,2.736846567,26,1,0,0,1,0,2,1.303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
333,Muridae,Pseudomys,patrius,N,11,136,63,365,4,Gregarious,100.9058098,34.26916514,3.48253202,2.695928079,30.70079943,1,0,0,0,0,2,0.854,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
334,Muridae,Pseudomys,shortridgei,N,64,205,110,2190,4,Gregarious,324.83,34.67854219,3,1,43.87478588,1,0,0,0,0,2,1.338,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
335,Delphinidae,Pseudorca,crassidens,N,2.00E+06,6100,1250.803242,22812.5,2,Gregarious,3721.66,454.105,0.985,0.12,547.5,0,0,1,0,0,3,4307,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
336,Pteropodidae,Pteralopex,anceps,N,532.775,262.31,314.2915494,5706.790415,4,Gregarious,684.2102165,109.644137,1,1.132088659,145.2538017,1,0,0,0,0,1.085989683,25.44847044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
337,Pteropodidae,Pteropus,alecto,N,641.115,254.6,254.6,7190.5,4,Gregarious,568.9145096,189,1.1,1,89.17,1,0,0,0,0,1,7.04,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
338,Pteropodidae,Pteropus,argentatus,N,636.1684523,407.4649746,385.2722504,6033.476293,4,Gregarious,656.089071,121.6281639,1.092960698,1.113286496,152.2957141,1,0,0,0,0,1.109400794,28.61340591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
339,Pteropodidae,Pteropus,aruensis,N,874.94,285.02,347.7210191,6056.486373,4,Gregarious,655.9429546,121.6527731,1.068857037,1.110346433,142.5951148,1,0,0,0,0,1.083555556,27.00337566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
340,Pteropodidae,Pteropus,conspicillatus,N,760.71,230,230,4218.792,4,Gregarious,755.15,156.0998826,1,1.09034569,139.51,1,0,0,0,0,1,8.35,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
341,Pteropodidae,Pteropus,gilliardorum,N,406.94,159.02,290.7851822,5860.594052,4,Gregarious,704.1970346,119.8242342,1.055872709,1.107875024,165.8136127,1,0,0,0,0,1.123142857,25.8482705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
342,Pteropodidae,Pteropus,macrotis,N,365.99,211.17,211.17,5190.092762,4,Gregarious,709.465053,158.4368458,1,1.058127595,350.78,1,0,0,0,0,1,6.127,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
343,Pteropodidae,Pteropus,natalis,N,397,200,200,5395.63248,4,Gregarious,1095,168,1,1.05180231,167.5763006,1,0,0,0,0,1.353370635,15.18245851,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
344,Pteropodidae,Pteropus,poliocephalus,N,675,272.59,272.59,8614,4,Gregarious,536.12,187.72,1,1,120,1,0,0,0,0,1,7.23,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
345,Pteropodidae,Pteropus,scapulatus,N,362,215,215,5767,4,Gregarious,566.36,168,1,1.066836758,133.76,1,0,0,1,0,1,5.36,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
346,Muridae,Rattus,adustus,N,158,271.4149551,248.3351821,2697.030475,4,Gregarious,113.6990747,27.81849304,4.223168216,3.050718944,28.82344068,1,0,0,1,0,1.876439683,26.84725582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
347,Muridae,Rattus,blangorum,N,142.68,195.995,221.2401658,1533,4,Gregarious,107.323,22.261,5.88,4.28,26.087,1,1,0,1,0,1.877149206,26.51820991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
348,Muridae,Rattus,bontanus,N,239,283.7059338,266.0741909,2727.524211,4,Gregarious,114.8711374,27.81433367,4.213106395,3.050718944,29.24205492,1,0,0,1,0,1.878739683,27.56457133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
349,Muridae,Rattus,colletti,N,151.99,281,132,547.5,4,Gregarious,60.872,21.902,5.995,4,26.82003827,1,0,0,0,0,2,1.554,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
350,Muridae,Rattus,enganus,N,305,284.9900701,265.3756609,2657.338082,4,Gregarious,93.86817181,26.72879798,4.54740718,3.644801552,31.38353213,1,1,0,1,0,1.881292063,27.76615167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
351,Muridae,Rattus,exulans,Y,60.315,250,119.9,1426.542,4,Gregarious,57.41,21.779,3.665,3.635,25.87,1,1,0,1,0,1.914135714,10.13992936,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
352,Muridae,Rattus,fuscipes,N,127.29,409,214,1934.5,4,Gregarious,59.31,26,4.58,3.3,29.523,1,0,0,1,0,2,1.69,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
353,Muridae,Rattus,giluwensis,N,101.11,150.55,201.9866269,2530.845999,4,Gregarious,93.27624136,28.72075671,4.21104661,3.481506393,30.32508978,1,0,0,1,0,1.895520635,26.38129699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
354,Muridae,Rattus,koopmani,N,151.4,267.0148849,244.9247615,2698.978498,4,Gregarious,113.5774487,27.85207579,4.227851073,3.0491045,28.80097588,1,0,0,1,0,1.876439683,26.78707475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
355,Muridae,Rattus,leucopus,N,162.445,338,189.68,1681.672747,4,Gregarious,102.07,22.827,3.475,3.633048052,25.262,1,1,0,1,0,2,1.896,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
356,Muridae,Rattus,lutreola,N,125,344,197,1819.318256,4,Gregarious,84,21,4,3.610797258,28,1,0,0,1,0,2,1.839,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0
357,Muridae,Rattus,norvegicus,Y,280,440,240,730,4,Gregarious,55.23,21.61,8.855,3.68,25,1,1,0,1,0,1.893104762,12.78333627,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
358,Muridae,Rattus,pelurus,N,170.27,277.3668274,246.8950173,2562.336141,4,Gregarious,91.7452978,27.42482733,4.585376875,3.40415754,28.17419861,1,1,0,1,0,1.883075397,26.93964094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
359,Muridae,Rattus,rattus,Y,200,420,201.99,1533,4,Gregarious,115.29,22.261,5.95,4.28,26.087,1,1,0,1,0,1.916938095,11.80675289,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
360,Muridae,Rattus,salocco,N,334,282.8274966,276.3845819,2840.459997,4,Gregarious,116.2888552,27.82346242,4.157108463,3.050718944,30.6076607,1,0,0,1,0,1.871989683,28.03108258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
361,Muridae,Rattus,sanila,N,310.6690752,973.5576221,607.847926,5754.711669,4,Gregarious,191.0199,71.37016321,4.024693953,2.895216643,116.2216959,1,0,0,1,0,1.847218254,80.94435342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
362,Muridae,Rattus,sordidus,N,157.5,287,159.67,1467.232735,4,Gregarious,51.28,21.902,5.995,4,26.51988507,1,0,0,1,0,2,1.607,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
363,Muridae,Rattus,tunneyi,N,141.395,271,151.64,365,4,Gregarious,158.16,22.102,5.545,3.199742567,22.827,1,0,0,0,0,2,1.609,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
364,Muridae,Rattus,villosissimus,N,193.5,322.5,173.155,1589.381815,4,Gregarious,63.003,21.902,5.995,4,26.57065363,1,1,0,0,0,2,1.702,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
365,Rhinolophidae,Rhinolophus,maclaudi,N,35.84,131.9399869,173.4930498,5545.069495,4,Gregarious,497.7572841,97.08168021,0.98,1.095482139,105.7046573,0,0,0,1,0,2.918533333,21.97520637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,Rhinolophidae,Rhinolophus,megaphyllus,N,8.65,84,84,2737.5,4,Gregarious,730.5,125.14,1,1,56.61,0,0,0,1,0,3,0.26,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
367,Rhinolophidae,Rhinolophus,philippinensis,N,10.91,111.94834,150.0029815,4521.876512,4,Gregarious,415.9738174,101.0846863,1.108587234,1.124588766,78.66234216,0,0,0,1,0,3,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
368,Rhinolophidae,Rhinolophus,robertsi,N,13,90,57,4829.186983,4,Gregarious,490.3433183,138.7288382,1.042488802,1.128050214,92.04468174,0,0,0,1,0,2.944530952,2.434599853,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
369,Rhinonycteridae,Rhinonicteris,aurantia,N,8.3,75,49.99,3646.655746,4,Gregarious,451.11,148.4,1,1,59.99,0,0,0,1,0,3,0.249,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
370,Bovidae,Rupicapra,rupicapra,Y,35383.175,1380,1300,8030,4,Gregarious,642.64,149.721,1,1,76.02,1,0,0,0,0,1.073856349,158.4428125,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
371,Emballonuridae,Saccolaimus,flaviventris,N,45.25,127,92,3837.570748,4,Solitary,363.1276306,151.9944768,1.224919945,2,104.9789586,0,0,0,1,0,3,0.678,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
372,Emballonuridae,Saccolaimus,mixtus,N,38.29,99,75,3922.495313,4,Gregarious,423.3563235,154.5368488,1.019568266,1.19845704,86.80875522,0,0,0,1,0,3,0.69,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
373,Emballonuridae,Saccolaimus,saccolaimus,N,43,126,97,4088.699523,4,Gregarious,432.7196155,143.4299113,1,1.144410774,104.9448918,0,0,0,1,0,3,0.67,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
374,Dasyuridae,Sarcophilus,harrisii,N,6500,910,678.93,4766.292,4,Solitary,777.31,26,2.94,1,243.33,0,1,0,0,1,3,16.669,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
375,Sciuridae,Sciurus,carolinensis,Y,540.33,315,400.8984218,8760,4,Gregarious,337.88,44,3,2,66,1,0,0,1,0,1.431811111,42.75450864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
376,Vespertilionidae,Scoteanax,rueppellii,N,26.41,131,86,3566.638885,4,Gregarious,410.8134973,132.3616262,1,1.0361625,79.24613582,0,1,0,1,0,3,0.909,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
377,Vespertilionidae,Scotorepens,balstoni,N,11.7,102,60,3540.5,4,Gregarious,398.6132144,211.455,1.5,1.231857917,29,0,0,0,1,0,3,0.384,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
378,Vespertilionidae,Scotorepens,greyii,N,10,77,45,2969.881459,4,Gregarious,406.1209075,131.4276719,2,1.110002282,48.05108368,0,0,0,1,0,3,0.217,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
379,Vespertilionidae,Scotorepens,orion,N,11.765,92,54,3540.5,4,Gregarious,400.0623556,210,1.5,1.234426667,29,0,0,0,1,0,3,0.402,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
